index,input_url,scanner_input,result,score,description,error
73,www.wallhome.com/M5.php,https://www.wallhome.com/M5.php,SAFE,6,6% safe - Targets dynamic script endpoint,
77,docs.google.com/a/airtelmail.in/spreadsheet/viewform?formkey=dGt3aG9PNXdhekNLNzZoZ1h2TUFmTUE6MQ,https://docs.google.com/a/airtelmail.in/spreadsheet/viewform?formkey=dGt3aG9PNXdhekNLNzZoZ1h2TUFmTUE6MQ,SAFE,0,Safe link,
84,steamcommunity-giveaway.my3gb.com,https://steamcommunity-giveaway.my3gb.com,SAFE,4,4% safe,
85,steamglfts.h16.ru,https://steamglfts.h16.ru,SAFE,4,4% safe,
86,vk-psich.hut2.ru,https://vk-psich.hut2.ru,SAFE,4,4% safe,
87,vklife.hut2.ru,https://vklife.hut2.ru,SAFE,4,4% safe,
89,tinyurl.com/bsebhuz,https://tinyurl.com/bsebhuz,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
94,tom-burns.com/absa_better_returng/index.php,https://tom-burns.com/absa_better_returng/index.php,SAFE,6,6% safe - Targets dynamic script endpoint,
95,jennys.com.bd/Information/login.php,https://jennys.com.bd/Information/login.php,SUSPICIOUS,16,16% suspicious - Contains risky words,
96,www.danatranslation.com/modules/pp/,https://www.danatranslation.com/modules/pp/,SAFE,4,4% safe,
100,randexpr.com/css/redirect/index.php,https://randexpr.com/css/redirect/index.php,SAFE,6,6% safe - Targets dynamic script endpoint,
102,docs.google.com/spreadsheet/viewform?formkey=dGdieTRJdWpOSzIwcGwtQ2MxdzA4aFE6MQ,https://docs.google.com/spreadsheet/viewform?formkey=dGdieTRJdWpOSzIwcGwtQ2MxdzA4aFE6MQ,SAFE,0,Safe link,
103,tinyurl.com/cq2yvst,https://tinyurl.com/cq2yvst,SUSPICIOUS,19,19% suspicious - Uses a shortened link,
105,www.emailformwizard.com/form.php?id=14339,https://www.emailformwizard.com/form.php?id=14339,SAFE,6,6% safe - Targets dynamic script endpoint,
108,reutregev.com/bin/updates/webscr.html?cmd=_login-run,https://reutregev.com/bin/updates/webscr.html?cmd=_login-run,SUSPICIOUS,19,19% suspicious - Contains risky words,
109,tvzoetermeer.nl/wp-content/via.php,https://tvzoetermeer.nl/wp-content/via.php,SAFE,6,6% safe - Targets dynamic script endpoint,
110,www.paypal-com.uni.me/update/security/profile/index.php,https://www.paypal-com.uni.me/update/security/profile/index.php,SUSPICIOUS,28,28% suspicious - Looks similar to a known brand,
111,teknocin.net/mobil/northrock.htm,https://teknocin.net/mobil/northrock.htm,SAFE,4,4% safe,
113,salaryof.com/cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0db1.8e2636.63d3fae.8db2b24f7b84f1819343fd6c338b1d9d60.6/us/webscr.htm?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727f,https://salaryof.com/cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0db1.8e2636.63d3fae.8db2b24f7b84f1819343fd6c338b1d9d60.6/us/webscr.htm?cmd=_login-run&dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727f,SUSPICIOUS,48,48% suspicious - Contains risky words,
125,www.horsetreats.com/.service.e.paypal.com/us/cgi-bin/webscr.htm?cmd=_login-run,https://www.horsetreats.com/.service.e.paypal.com/us/cgi-bin/webscr.htm?cmd=_login-run,SUSPICIOUS,25,25% suspicious - Contains risky words,
127,shylands.com/old_aol.1.3/?Login=&Lis=10&LigertID=1993745&us=1,https://shylands.com/old_aol.1.3/?Login=&Lis=10&LigertID=1993745&us=1,SUSPICIOUS,28,28% suspicious - Contains risky words,
128,praic.com/old_aol.1.3/?Login=&Lis=10&LigertID=1993745&us=1,https://praic.com/old_aol.1.3/?Login=&Lis=10&LigertID=1993745&us=1,SUSPICIOUS,28,28% suspicious - Contains risky words,
130,sepakbolaonline.com/wp-content/themes/redcarpet-3.0.6/sec/ibank.ib.nab.com.au/,https://sepakbolaonline.com/wp-content/themes/redcarpet-3.0.6/sec/ibank.ib.nab.com.au/,SUSPICIOUS,35,35% suspicious - Contains risky words,
132,cadastre.orgfree.com/perfilbb.php,https://cadastre.orgfree.com/perfilbb.php,SAFE,6,6% safe - Targets dynamic script endpoint,
133,cadastre.orgfree.com/PortalSeguro/BB/,https://cadastre.orgfree.com/PortalSeguro/BB/,SAFE,4,4% safe,
134,inetserv.visa.com.ar.php53-23.ord1-1.websitetestlink.com/visa.php,https://inetserv.visa.com.ar.php53-23.ord1-1.websitetestlink.com/visa.php,SUSPICIOUS,10,10% suspicious - URL has many dot segments,
136,www.easymarketing.hu/wp-includes/images/paypal/paypal/us/error_login.html,https://www.easymarketing.hu/wp-includes/images/paypal/paypal/us/error_login.html,SUSPICIOUS,16,16% suspicious - Contains risky words,
137,pyuthansamachar.com/np/Paypal_Virefication/741f85e09681ab7d07cdbad92235ec1e/webscr.php,https://pyuthansamachar.com/np/Paypal_Virefication/741f85e09681ab7d07cdbad92235ec1e/webscr.php,SUSPICIOUS,12,12% suspicious - URL length is moderately high,
143,thedoorfellowship.com/joomla.php,https://thedoorfellowship.com/joomla.php,SAFE,6,6% safe - Targets dynamic script endpoint,
144,bit.ly/Oceask,https://bit.ly/Oceask,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
145,tinyurl.com/cepfn35,https://tinyurl.com/cepfn35,SUSPICIOUS,19,19% suspicious - Uses a shortened link,
146,tinyurl.com/btdk39c,https://tinyurl.com/btdk39c,SUSPICIOUS,19,19% suspicious - Uses a shortened link,
147,docs.google.com/spreadsheet/viewform?formkey=dEZzblVwcDBVZWNMaWdCMUt4clprd2c6MQ,https://docs.google.com/spreadsheet/viewform?formkey=dEZzblVwcDBVZWNMaWdCMUt4clprd2c6MQ,SAFE,0,Safe link,
148,docs.google.com/a/uic.edu/spreadsheet/viewform?formkey=dEp5dmQyMjU4SmxpenhtcHJaeFROQ,https://docs.google.com/a/uic.edu/spreadsheet/viewform?formkey=dEp5dmQyMjU4SmxpenhtcHJaeFROQ,SAFE,0,Safe link,
151,beam.to/3912,https://beam.to/3912,SAFE,4,4% safe,
152,off.st/mailadmin,https://off.st/mailadmin,SAFE,4,4% safe,
160,kettyle.co.uk/Paypal.com/index.php,https://kettyle.co.uk/Paypal.com/index.php,SAFE,8,8% safe - URL has multiple dot segments,
162,traviantx.xzn.ir/index.html,https://traviantx.xzn.ir/index.html,SAFE,4,4% safe,
167,www.fcbrokers.com.au/paypai/update/your-account/paypai-login/service/Restart.php,https://www.fcbrokers.com.au/paypai/update/your-account/paypai-login/service/Restart.php,SUSPICIOUS,37,37% suspicious - Contains risky words,
171,adamchuk.com/im/northrock.htm,https://adamchuk.com/im/northrock.htm,SAFE,4,4% safe,
175,www.strmedia.com/reels/0000/0004/process.php,https://www.strmedia.com/reels/0000/0004/process.php,SAFE,6,6% safe - Targets dynamic script endpoint,
177,alibabamailveriication.yolasite.com/contact-us.php,https://alibabamailveriication.yolasite.com/contact-us.php,SAFE,6,6% safe - Targets dynamic script endpoint,
185,pd907fc48.dip0.t-ipconnect.de/www2.paypal.com/uk/login.php?cmd=_login-run,https://pd907fc48.dip0.t-ipconnect.de/www2.paypal.com/uk/login.php?cmd=_login-run,SUSPICIOUS,41,41% suspicious - Contains risky words,
186,pd907fc48.dip0.t-ipconnect.de/www2.paypal.com/uk/index.php,https://pd907fc48.dip0.t-ipconnect.de/www2.paypal.com/uk/index.php,SUSPICIOUS,15,15% suspicious - URL has many dot segments,
210,onlineaccountwebtodayactivednowf.weebly.com/,https://onlineaccountwebtodayactivednowf.weebly.com/,SUSPICIOUS,12,12% suspicious - Contains risky words,
211,paywithpal.byethost4.com/,https://paywithpal.byethost4.com/,SAFE,4,4% safe,
212,balicheapholiday.com/Aol_fullz/BillingCenter@aim.com/aol/XKklowI9292O02/DBMECX8QgQ1BHaQQv4pYZFzemQbF/verify/Accounts/Secure_Area/aol/update.htm,https://balicheapholiday.com/Aol_fullz/BillingCenter@aim.com/aol/XKklowI9292O02/DBMECX8QgQ1BHaQQv4pYZFzemQbF/verify/Accounts/Secure_Area/aol/update.htm,SUSPICIOUS,58,58% suspicious - Contains risky words,
213,balicheapholiday.com/Aol_fullz/BillingCenter@aim.com/aol/XKklowI9292O02/DBMECX8QgQ1BHaQQv4pYZFzemQbF/verify/Accounts/Secure_Area/aol/,https://balicheapholiday.com/Aol_fullz/BillingCenter@aim.com/aol/XKklowI9292O02/DBMECX8QgQ1BHaQQv4pYZFzemQbF/verify/Accounts/Secure_Area/aol/,SUSPICIOUS,58,58% suspicious - Contains risky words,
214,www.emailformwizard.com/form.php?id=14366,https://www.emailformwizard.com/form.php?id=14366,SAFE,6,6% safe - Targets dynamic script endpoint,
215,www.emailformwizard.com/form.php?id=130332,https://www.emailformwizard.com/form.php?id=130332,SAFE,6,6% safe - Targets dynamic script endpoint,
216,off.st/mailverifications,https://off.st/mailverifications,SAFE,4,4% safe,
219,www.artbynicholas.com/property/remax/index.htm,https://www.artbynicholas.com/property/remax/index.htm,SAFE,4,4% safe,
249,jesuscaressite.com/css/user/uk/index.php,https://jesuscaressite.com/css/user/uk/index.php,SAFE,6,6% safe - Targets dynamic script endpoint,
259,rjbpaving.co.uk/scripts/rigidity/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol,https://rjbpaving.co.uk/scripts/rigidity/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol,SUSPICIOUS,35,35% suspicious - Contains risky words,
288,rikhiram.in/aol.com.htm,https://rikhiram.in/aol.com.htm,SAFE,4,4% safe,
290,www.szokeihorgasztavak.hu/plugins/editors-xtd/index/readmore.html,https://www.szokeihorgasztavak.hu/plugins/editors-xtd/index/readmore.html,SAFE,4,4% safe,
293,masterpower1.h19.ru/,https://masterpower1.h19.ru/,SAFE,4,4% safe,
294,multidata1.h19.ru/home.php,https://multidata1.h19.ru/home.php,SAFE,6,6% safe - Targets dynamic script endpoint,
301,www.api-software.com/templates/rhuk_milkyway/html/21/pay_form_ec_cvv2_fichiers/pay_form_ec_cvv2.html,https://www.api-software.com/templates/rhuk_milkyway/html/21/pay_form_ec_cvv2_fichiers/pay_form_ec_cvv2.html,SUSPICIOUS,16,16% suspicious - URL length is above normal,
306,thechapmangroup.net/wp-ins.htm,https://thechapmangroup.net/wp-ins.htm,SAFE,4,4% safe,
308,ddcjajarkot.gov.np/js/verify.htm,https://ddcjajarkot.gov.np/js/verify.htm,SUSPICIOUS,12,12% suspicious - Contains risky words,
309,thinstrip.com/www.paypal.com/info/cgi-login/9212020291001020100300D02D002A00D02100DA error_login.html,https://thinstrip.com/www.paypal.com/info/cgi-login/9212020291001020100300D02D002A00D02100DA error_login.html,SUSPICIOUS,18,18% suspicious - Invalid or incomplete link,
310,ea.ce-intern.com/_la.php?nid=803784&sid=218699859&lid=2642119&tg=www.santafetex.com/login.php,https://ea.ce-intern.com/_la.php?nid=803784&sid=218699859&lid=2642119&tg=www.santafetex.com/login.php,SUSPICIOUS,42,42% suspicious - Contains risky words,
312,www.dla-zaby.yoyo.pl/,https://www.dla-zaby.yoyo.pl/,SAFE,4,4% safe,
313,steamcommunitylog.chez.com/,https://steamcommunitylog.chez.com/,SAFE,4,4% safe,
314,orxo.org/blog/Steam/,https://orxo.org/blog/Steam/,SAFE,4,4% safe,
315,steamcomunity.xtgem.com/,https://steamcomunity.xtgem.com/,SAFE,4,4% safe,
316,esltn.clanteam.com/,https://esltn.clanteam.com/,SAFE,4,4% safe,
317,steamcommunity.pvv.pl/,https://steamcommunity.pvv.pl/,SAFE,4,4% safe,
318,steamappidfree.hi2.ro/,https://steamappidfree.hi2.ro/,SAFE,4,4% safe,
319,steamstorepowered.chez.com/,https://steamstorepowered.chez.com/,SAFE,4,4% safe,
320,steam-valve.atw.hu/,https://steam-valve.atw.hu/,SAFE,4,4% safe,
322,shaareitevunah.com/wsd/webscrcmd=login-run/webscrcmd=account-run=66l0411u938/update-paypal/Confirm-paypal/,https://shaareitevunah.com/wsd/webscrcmd=login-run/webscrcmd=account-run=66l0411u938/update-paypal/Confirm-paypal/,SUSPICIOUS,47,47% suspicious - Contains risky words,
324,similarvarieties.yolasite.com/,https://similarvarieties.yolasite.com/,SAFE,4,4% safe,
327,alfatahrice.com/al_arabia/images/emails/,https://alfatahrice.com/al_arabia/images/emails/,SAFE,4,4% safe,
329,fiddle.jshell.net/viewproducts/Qmykk/1/show/light/,https://fiddle.jshell.net/viewproducts/Qmykk/1/show/light/,SAFE,4,4% safe,
331,fastprint.kz/wp-content/upgrade/r.php,https://fastprint.kz/wp-content/upgrade/r.php,SAFE,6,6% safe - Targets dynamic script endpoint,
332,saadgroup.yolasite.com/,https://saadgroup.yolasite.com/,SAFE,4,4% safe,
333,purchasing-department.yolasite.com/,https://purchasing-department.yolasite.com/,SAFE,4,4% safe,
334,purchasingandmarketing.yolasite.com/,https://purchasingandmarketing.yolasite.com/,SAFE,4,4% safe,
343,preciouslordtakemyhand.com/css/site/uk/index.php,https://preciouslordtakemyhand.com/css/site/uk/index.php,SAFE,6,6% safe - Targets dynamic script endpoint,
345,www.teratv.org/premiadacielo/,https://www.teratv.org/premiadacielo/,SAFE,4,4% safe,
346,www.teratv.org/premiadacielo/index.html,https://www.teratv.org/premiadacielo/index.html,SAFE,4,4% safe,
347,tradeland.gnbo.com.ng/,https://tradeland.gnbo.com.ng/,SAFE,4,4% safe,
348,www.thepavilion.ca/OLD/swf/redir/1/idx.html,https://www.thepavilion.ca/OLD/swf/redir/1/idx.html,SAFE,4,4% safe,
363,www.nicolcrests.co.uk/upload/photo/category/.1.php,https://www.nicolcrests.co.uk/upload/photo/category/.1.php,SAFE,8,8% safe - URL has multiple dot segments,
364,www.globusapps.com/apps/paypal/curl.php?msg=U3RhcnRlcg=,https://www.globusapps.com/apps/paypal/curl.php?msg=U3RhcnRlcg=,SAFE,6,6% safe - Targets dynamic script endpoint,
367,johnnylucky.org/news/bdsc/index.html,https://johnnylucky.org/news/bdsc/index.html,SAFE,4,4% safe,
368,johnnylucky.org/news/bdsc/index.html?10150119348939953&set=a.10150119348759953.62949.19034719952&type=1&theater,https://johnnylucky.org/news/bdsc/index.html?10150119348939953&set=a.10150119348759953.62949.19034719952&type=1&theater,SUSPICIOUS,14,14% suspicious - URL length is above normal,
370,buscacertarh.com.br/word/my/central/index.php,https://buscacertarh.com.br/word/my/central/index.php,SAFE,6,6% safe - Targets dynamic script endpoint,
378,www.apecsq.org/templates/ja_purity/html/com_content/zabbbbbbbbbbbbbbb.htm,https://www.apecsq.org/templates/ja_purity/html/com_content/zabbbbbbbbbbbbbbb.htm,SAFE,4,4% safe,
379,shmel-service.ru/westpac/index.html?confirm.my.id.westpac.com.au=value8726_cqrloginlogin.pspmcState=initialized&sitedomain=startpage.westpac.com.au,https://shmel-service.ru/westpac/index.html?confirm.my.id.westpac.com.au=value8726_cqrloginlogin.pspmcState=initialized&sitedomain=startpage.westpac.com.au,SAFE,0,Ignored internal link,
387,bit.ly/NuuAIf,https://bit.ly/NuuAIf,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
390,www.pancerni.com.pl/administrator/templates/khepri/images/plugins.php?plugins.jpg,https://www.pancerni.com.pl/administrator/templates/khepri/images/plugins.php?plugins.jpg,SUSPICIOUS,11,11% suspicious - URL length is moderately high,
391,construtorasol.com.br/site/wp-content/themes/Nova/temp/wseBay923812232847474/,https://construtorasol.com.br/site/wp-content/themes/Nova/temp/wseBay923812232847474/,SUSPICIOUS,11,11% suspicious - URL length is moderately high,
396,signdepo.co.jp/uk/webscr.htm,https://signdepo.co.jp/uk/webscr.htm,SAFE,4,4% safe,
400,cartaodeseguranca.xoom.it/Clientes/Bradesco/Pessoa_Fisica/index,https://cartaodeseguranca.xoom.it/Clientes/Bradesco/Pessoa_Fisica/index,SUSPICIOUS,23,23% suspicious - Looks like a fake brand spelling (typo/extra character),
410,camarostyle.com/paypal/,https://camarostyle.com/paypal/,SAFE,4,4% safe,
414,itautoken10.h19.ru/Clientes/Pessoa_Fisica/Token/Seguranca/index/GRIPNET/index.php,https://itautoken10.h19.ru/Clientes/Pessoa_Fisica/Token/Seguranca/index/GRIPNET/index.php,SUSPICIOUS,11,11% suspicious - URL length is moderately high,
415,goo.gl/Vghcu,https://goo.gl/Vghcu,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
417,cirter.com/INSTALI.php,https://cirter.com/INSTALI.php,SAFE,6,6% safe - Targets dynamic script endpoint,
419,school1.kz/cache/remax/index.htm,https://school1.kz/cache/remax/index.htm,SAFE,4,4% safe,
421,www.football-tipster.com/.http/www.paypal.fr/,https://www.football-tipster.com/.http/www.paypal.fr/,SAFE,6,6% safe - URL has multiple dot segments,
422,paypsal.xgsm.pl/?/webscr?cmd=_login-submit&dispatch=5885d80a13c0db1f8e263663d3fa,https://paypsal.xgsm.pl/?/webscr?cmd=_login-submit&dispatch=5885d80a13c0db1f8e263663d3fa,SUSPICIOUS,71,71% suspicious - Looks like a fake brand spelling (typo/extra character),
423,www.football-tipster.com/.http/www.paypal.fr/db10b41f490ee1fad871b9a032047154/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117,https://www.football-tipster.com/.http/www.paypal.fr/db10b41f490ee1fad871b9a032047154/Processing.htm?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117,SUSPICIOUS,22,22% suspicious - URL is unusually long,
425,ebasy.xgsm.pl?eBay.com.wbdllsc.login.submit.dispatch.313564894.js?,https://ebasy.xgsm.pl?eBay.com.wbdllsc.login.submit.dispatch.313564894.js?,SUSPICIOUS,19,19% suspicious - Contains risky words,
426,aljo.com.br/wp-content/themes/autofocus/img/remax/properties/,https://aljo.com.br/wp-content/themes/autofocus/img/remax/properties/,SAFE,7,7% safe - URL contains several special characters,
427,www.startup24.org/nuevo/bancoguayaquil.com/bg/indexAhorro.html,https://www.startup24.org/nuevo/bancoguayaquil.com/bg/indexAhorro.html,SAFE,4,4% safe,
428,www.startup24.org/nuevo/pichincha/internexo/jsp/loginbiometrico/loginBiometrico.htm,https://www.startup24.org/nuevo/pichincha/internexo/jsp/loginbiometrico/loginBiometrico.htm,SUSPICIOUS,15,15% suspicious - Contains risky words,
431,bit.ly/MkbDOx,https://bit.ly/MkbDOx,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
434,ppinc.pf-control.de/,https://ppinc.pf-control.de/,SAFE,4,4% safe,
440,aljo.com.br//wp-content/themes/autofocus/img/remax/properties/,https://aljo.com.br//wp-content/themes/autofocus/img/remax/properties/,SAFE,7,7% safe - URL contains several special characters,
443,payps.xgsm.pl/?mexic-goble-paypal.bo.vsrtyuddth465454545454efrfewfewfwfrwfrwsgffgfgf,https://payps.xgsm.pl/?mexic-goble-paypal.bo.vsrtyuddth465454545454efrfewfewfwfrwfrwsgffgfgf,SAFE,7,7% safe - URL length is moderately high,
452,ccurb.com.au/profiles/maryland/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol/update.html,https://ccurb.com.au/profiles/maryland/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol/update.html,SUSPICIOUS,35,35% suspicious - Contains risky words,
457,wooperformance.com/includes/js/dtree/sec_payment.capitec.in/,https://wooperformance.com/includes/js/dtree/sec_payment.capitec.in/,SUSPICIOUS,12,12% suspicious - Contains risky words,
458,plasticoscarmen.com/wp-content/plugins/wordpress-importer/languages/paypal.com.au/au/cgi-bin/cmd/login.html,https://plasticoscarmen.com/wp-content/plugins/wordpress-importer/languages/paypal.com.au/au/cgi-bin/cmd/login.html,SUSPICIOUS,31,31% suspicious - Contains risky words,
470,www.dubaibull.com/picasa/cgi-bin/cielo/cielo/index.php,https://www.dubaibull.com/picasa/cgi-bin/cielo/cielo/index.php,SAFE,6,6% safe - Targets dynamic script endpoint,
471,www.dubaibull.com/picasa/cgi-bin/cielo/cielo/,https://www.dubaibull.com/picasa/cgi-bin/cielo/cielo/,SAFE,4,4% safe,
472,mail.deltaned.com/intl/update/webscr2.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5dccd81740795dd0e7ff0,https://mail.deltaned.com/intl/update/webscr2.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5dccd81740795dd0e7ff0,PHISHING,94,94% unsafe - Looks like a fake brand spelling (typo/extra character),
479,lnk.co/tyuj56j4?g54gh?,https://lnk.co/tyuj56j4?g54gh?,SAFE,6,6% safe - Contains randomized path token,
480,lnk.co/67I56U5?fdh5?,https://lnk.co/67I56U5?fdh5?,SAFE,6,6% safe - Contains randomized path token,
484,www.dubaibull.com/picasa/cgi-bin/Gol/,https://www.dubaibull.com/picasa/cgi-bin/Gol/,SAFE,4,4% safe,
487,www.mossanepid.ru/history/images/rsgallery/thumb/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0f,https://www.mossanepid.ru/history/images/rsgallery/thumb/sec-fr/Processing.php?cmd=_Processing&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0f,SUSPICIOUS,18,18% suspicious - URL is unusually long,
492,interbank.me/InterLinea/ingresa.php,https://interbank.me/InterLinea/ingresa.php,SUSPICIOUS,16,16% suspicious - Contains risky words,
494,ccurb.com.au/profiles/maryland/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol/,https://ccurb.com.au/profiles/maryland/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol/,SUSPICIOUS,35,35% suspicious - Contains risky words,
495,ccurb.com.au/profiles/maryland/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol,https://ccurb.com.au/profiles/maryland/method-payment/accountinformation248=id/aol/verfiedmemberselections/aol,SUSPICIOUS,35,35% suspicious - Contains risky words,
497,www.austinrc.org//cl1/remax/,https://www.austinrc.org//cl1/remax/,SAFE,4,4% safe,
504,bit.ly/NvxLTz,https://bit.ly/NvxLTz,SUSPICIOUS,15,15% suspicious - Uses a shortened link,
505,docs.google.com/a/mcc.edu/spreadsheet/viewform?formkey=dEhkWlV6VktTOGlldkd6VndhWkxRN,https://docs.google.com/a/mcc.edu/spreadsheet/viewform?formkey=dEhkWlV6VktTOGlldkd6VndhWkxRN,SAFE,0,Safe link,
507,www.redwoodtransit.org/schedules/download/anz.account.html,https://www.redwoodtransit.org/schedules/download/anz.account.html,SUSPICIOUS,12,12% suspicious - Contains risky words,
