index,input_url,extracted_domain,failure_reason,message,resolved_ip
19,hosting.pilsfree.net/jozka/cgi.bin/bbba3e3dbb524e60e5b1db5753b870e4/webscr.html?cmd=0cd85d151a1f22d2300ef60a67593b79a4d03747447e6b625328d36121a19c21c658,hosting.pilsfree.net,NONE,URL exists - DNS resolved successfully,81.201.60.150
20,www.massmovement.kr/wp-content/themes/modularity/includes/eBaiISAPI.dll.htm?signin.ebay.co.uk/ws/eBayISAPI.dll?SignIn&ru=www.ebay.co.uk/,massmovement.kr,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
21,clinicamundodent.com/images/eBaiISAPI.dll.htm?https:/signin.ebay.co.uk/ws/eBayISAPI.dll?SignIn&ru=http:/www.ebay.co.uk/,clinicamundodent.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
22,rickyvilchez.com/b0x/paypal/dd828775523067e291cacb10bdf17f45/,rickyvilchez.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
23,rickyvilchez.com/b0x/paypal/104f49b30b10af75c1e81cc7eb2faaee/,rickyvilchez.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
24,rickyvilchez.com/b0x/paypal/1d613c0581b8e5f6d443c5d7ad1e6212/,rickyvilchez.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
25,rickyvilchez.com/b0x/paypal/b1d247eb5febbc2bd96b7745959e5e0e/,rickyvilchez.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
26,rickyvilchez.com/b0x/paypal/scredirect.php,rickyvilchez.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
27,paypal.com.globalspiritsfest.com/pp/,paypal.com.globalspiritsfest.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
28,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.accrametalmarket.com/qwwqewqeweweqwetrtryttsaasdsdagghjhjjxczxzcxcz/wwqeewrertrffhfggfxdsfsdayuyytfg/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5ca8c5ad5fd2,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.accrametalmarket.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
29,paypal.com.update.65rth46e5rg3w1erf65gwer4g5r4g65.rg6e5rger51g3w51e5gweg12e3wf1w.g1w5e6g1t321h5y1h.rth15y1h3r2t1h5561h.1h55132we1r5q1w5d1qw.q15frqf21er5g435g1er25g14g231g515212ewf4w5fqef.1rg45er2g1wg.balloonartviet.vn/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023,paypal.com.update.65rth46e5rg3w1erf65gwer4g5r4g65.rg6e5rger51g3w51e5gweg12e3wf1w.g1w5e6g1t321h5y1h.rth15y1h3r2t1h5561h.1h55132we1r5q1w5d1qw.q15frqf21er5g435g1er25g14g231g515212ewf4w5fqef.1rg45er2g1wg.balloonartviet.vn,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
30,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.alfuratco.com/wqwqeeretrtrtyyuyuuyfdssasasdhgxcxczxsd/ewewqeerrttrtytyuuydssadfffgcvupdate/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132b,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.alfuratco.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
31,goo.gl/K2tZp,goo.gl,NONE,URL exists - DNS resolved successfully,142.251.222.142
32,essencialticket.com/,essencialticket.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
33,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.accrametalmarket.com/qwwqewqeweweqwetrtryttsaasdsdagghjhjjxczxzcxcz/wwqeewrertrffhfggfxdsfsdayuyytfg/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4e8f9e5ca8c5ad,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.accrametalmarket.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
34,paypal.com.update.65rth46e5rg3w1erf65gwer4g5r4g65.rg6e5rger51g3w51e5gweg12e3wf1w.g1w5e6g1t321h5y1h.rth15y1h3r2t1h5561h.1h55132we1r5q1w5d1qw.q15frqf21er5g435g1er25g14g231g515212ewf4w5fqef.1rg45er2g1wg.balloonartviet.vn/update/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cf,paypal.com.update.65rth46e5rg3w1erf65gwer4g5r4g65.rg6e5rger51g3w51e5gweg12e3wf1w.g1w5e6g1t321h5y1h.rth15y1h3r2t1h5561h.1h55132we1r5q1w5d1qw.q15frqf21er5g435g1er25g14g231g515212ewf4w5fqef.1rg45er2g1wg.balloonartviet.vn,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
35,www.etravels.co.ke/,etravels.co.ke,NONE,URL exists - DNS resolved successfully,102.212.246.115
36,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.alfuratco.com/wqwqeeretrtrtyyuyuuyfdssasasdhgxcxczxsd/ewewqeerrttrtytyuuydssadfffgcvupdate/webscr.php?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c,paypal.com.info.a6s5f4e89f65a.af65a4f65e4f5a46f54.af654rg65e4rb65e4rf.v6e4f65a4d654ew65f.af465ew4f6a5f324f654ewf.f465a4f654w654fs.f65e4f654af.wef45e6fa34f654f.af65e4gwe5f4qa65w4fd65qaw4d3a.gfq65w4fd6q54dwsqerws.alfuratco.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
37,www.bariskaraduman.com/wp-content/themes/ePhoto/oriunde/,bariskaraduman.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
38,www.intr-paypal.com/,intr-paypal.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
39,secure.paypal.com.dd26ea8b2bc48d1b4db7b7460fac5380aff51a0de65b.2dsigndeco.com,secure.paypal.com.dd26ea8b2bc48d1b4db7b7460fac5380aff51a0de65b.2dsigndeco.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
40,exinoman.com/www.paypal.fr/d1a29366d37aa550ffc12ff9b3e35f27/login.php,exinoman.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
41,cisforchoices.info/paypall/paypalscm/Processing.htm,cisforchoices.info,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
42,www.frilagos.pt/plugins/content/paypal.com/webscr/m/e/q/p/z/x/j/id=102080/index.html,frilagos.pt,NONE,URL exists - DNS resolved successfully,185.12.116.99
43,www.frilagos.pt/plugins/content/paypal.com/webscr/m/e/q/p/z/x/j/id=102061/index.html,frilagos.pt,NONE,URL exists - DNS resolved successfully,185.12.116.99
44,www.frilagos.pt/plugins/content/paypal.com/webscr/m/e/q/p/z/x/j/id=102032/,frilagos.pt,NONE,URL exists - DNS resolved successfully,185.12.116.99
45,www.frilagos.pt/plugins/content/paypal.com/webscr/m/e/q/p/z/x/j/id=102056/index.html,frilagos.pt,NONE,URL exists - DNS resolved successfully,185.12.116.99
46,shani.asia.lk/PayPal.it/update/webscr.html,shani.asia.lk,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
47,accessmarketinginc.com/www.service.paypal.com/us/cgi-bin/webscr.html?cmd=_login-run,accessmarketinginc.com,NONE,URL exists - DNS resolved successfully,199.16.173.254
48,accessmarketinginc.com/e.service.paypal.com/us/cgi-bin/webscr.html?cmd=_home,accessmarketinginc.com,NONE,URL exists - DNS resolved successfully,199.16.173.254
49,accessmarketinginc.com/support.service.paypal.com/us/cgi-bin/webscr.html?cmd=_home,accessmarketinginc.com,NONE,URL exists - DNS resolved successfully,199.16.173.254
50,accessmarketinginc.com/na.e.paypal.com/us/cgi-bin/webscr.html?cmd=_login-run,accessmarketinginc.com,NONE,URL exists - DNS resolved successfully,199.16.173.254
51,accessmarketinginc.com/e.paypal.com/us/cgi-bin/webscr.html?cmd=_home,accessmarketinginc.com,NONE,URL exists - DNS resolved successfully,199.16.173.254
52,accessmarketinginc.com/www.e.paypal.com/us/cgi-bin/webscr.html?cmd=_login-run,accessmarketinginc.com,NONE,URL exists - DNS resolved successfully,199.16.173.254
53,securitypaypal.hebergratuit.com/,securitypaypal.hebergratuit.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
54,tinyurl.com/87nk5vw,tinyurl.com,NONE,URL exists - DNS resolved successfully,104.17.112.233
55,candycane.addhoc.ca/wp-content/PayPal/index.htm,candycane.addhoc.ca,NONE,URL exists - DNS resolved successfully,162.144.12.195
56,nour-greenoi.com/pp/,nour-greenoi.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
57,paypal.com.troufomania.gr/ok/index.htm,paypal.com.troufomania.gr,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
58,www.multiplusfidelidadepromotam.com/Upgrade/Bonus/retry/Progress/,multiplusfidelidadepromotam.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
59,www.bariskaraduman.com/wp-content/themes/ePhoto/rasa/,bariskaraduman.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
60,www.frilagos.pt/plugins/content/paypal.com/webscr/m/e/q/p/z/x/j/id=102044/index.html,frilagos.pt,NONE,URL exists - DNS resolved successfully,185.12.116.99
61,cadeauoriginal.mons.be/pear/pdtng/35384394338484d853538439384d84d85353844d8535353538sascr.htm?2ab5e53d60493d54beecee6a9d575f862ab5e53d60493d54beecee6a9d575f86,cadeauoriginal.mons.be,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
62,pillasport.com/~projecti/us/info1.php,pillasport.com,NONE,URL exists - DNS resolved successfully,23.227.38.65
63,acsjobs.org/service/c84588c7f516fcc859628cd84a708d5d/,acsjobs.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
64,acsjobs.org/service/fd8f281d40946e859bea92a5a6ac0e00/,acsjobs.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
65,acsjobs.org/service/56eea16ebedaa79c1f35404c02e28009/,acsjobs.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
66,servidacielo.hut4.ru/2012/,servidacielo.hut4.ru,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
67,www.emilieboudoin.fr/link.php,emilieboudoin.fr,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
68,www.cadastreseeconcorra.com.br/,cadastreseeconcorra.com.br,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
69,vendez1site.com/includes/install/61bc2ae271e0a03a0bcf012a874e611a/,vendez1site.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
70,acsjobs.org/service/9cc82589da77ef05915ea8c7cddaa658/,acsjobs.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
71,acavill.com/na.e.support.service.paypal.com/us/cgi-bin/webscr.html?cmd=_home,acavill.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
72,rejoicemission.com/snsbank/login.html,rejoicemission.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
73,hlanz.org/billing/system/info/update/webscr/screaming/b9d0ac436687aefa1cd6c270620e7a,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
74,hlanz.org/pp/,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
75,hlanz.org/billing/system/info/update/webscr/screaming/edb4610d2a4fc52c6f5a9b0601e40e,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
76,hlanz.org/billing/system/info/update/webscr/screaming/b9603cc6ce8023aee2473ad2d850b9,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
77,hlanz.org/billing/system/info/update/webscr/screaming/8a81ef05506f84ee11f287adace35e,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
78,hlanz.org/billing/system/info/update/webscr/screaming/a334b949df3aa153511cd5c73d3100,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
79,hlanz.org/billing/system/info/update/webscr/screaming/1645450567843b44cdce4d412c7063,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
80,hlanz.org/billing/system/info/update/webscr/screaming/cd90076bcfb62116c2d13c53c0501d,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
81,gametoystore.com/-Paypal%20Fullinfo%20fr%20best%20Of%20scam/,gametoystore.com,NONE,URL exists - DNS resolved successfully,209.182.196.26
82,e-store.toomusik.fr/ppaypapp/paypal9/paypal-loginl/index.htm,e-store.toomusik.fr,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
83,hlanz.org/billing/system/info/update/webscr/screaming/0949bc31449fd95b0e1becce7bb7c9,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
84,hlanz.org/billing/system/info/update/webscr/screaming/a06cbf7731b64ae0eaaf9bdf83cf9d,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
85,hlanz.org/billing/system/info/update/webscr/screaming/843a81049f70c5b90284f554a12726,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
86,hlanz.org/billing/system/info/update/webscr/screaming/b86cdadcc11eb1355a1df3d153375e,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
87,hlanz.org/billing/system/info/update/webscr/screaming/56f89e27fa0afed11cb208bf51d093,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
88,hlanz.org/billing/system/info/update/webscr/screaming/746b53b6a95e1ddac3c96cf2c69bab,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
89,hlanz.org/billing/system/info/update/webscr/screaming/8999801765b4932548788db4dcb97f,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
90,hlanz.org/billing/system/info/update/webscr/screaming/e864020d99fdeb3a00720ce7554097,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
91,hlanz.org/billing/system/info/update/webscr/screaming/90f7565a4a84ef63c881b67aebbad8,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
92,hlanz.org/billing/system/info/update/webscr/screaming/1227f2b0c15a3c9ef9300f761c68cb,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
93,hlanz.org/billing/system/info/update/webscr/screaming/8b98fbc9ddff49446c30a1260eb3f4,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
94,hlanz.org/billing/system/info/update/webscr/screaming/a2ac37fad1a1c8f86d360df0d83a0c,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
95,hlanz.org/billing/system/info/update/webscr/screaming/747ae6d343cddc97d3db40766515fc,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
96,hlanz.org/billing/system/info/update/webscr/screaming/9e310f908efd20b33b34b2fda1e895,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
97,hlanz.org/billing/system/info/update/webscr/screaming/2733b75f500b9cf84175550761130b,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
98,hlanz.org/billing/system/info/update/webscr/screaming/3f96519e4f59bcc6b0ddafd029bbe2,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
99,hlanz.org/billing/system/info/update/webscr/screaming/a5c3dea1dafaf897a70270da1a50d1,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
100,hlanz.org/billing/system/info/update/webscr/screaming/d99ff9322470f28283e9b667ef35b8,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
101,www.bariskaraduman.com/wp-content/themes/ePhoto/lopa/,bariskaraduman.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
102,www.paypal.com.fr.cgi-bin.webscr.cmd.account.nav.ref.z376v7f.verification.process-security.mise-a-jours.protection.dreasignmf.com/cgi-sys/suspendedpage.cgi?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0a,paypal.com.fr.cgi-bin.webscr.cmd.account.nav.ref.z376v7f.verification.process-security.mise-a-jours.protection.dreasignmf.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
103,www.paypal.com.fr.cgi-bin.webscr.cmd.account.nav.ref.z376v7f.verification.process-security.mise-a-jours.protection.dreasignmf.com/erreur.htm?cmd=_error_login-run&dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb21199,paypal.com.fr.cgi-bin.webscr.cmd.account.nav.ref.z376v7f.verification.process-security.mise-a-jours.protection.dreasignmf.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
104,gameover43.x10.mx/cmd_login-rin.php,gameover43.x10.mx,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
105,www.directsalesguru.com/wp-includes/images/wlw/regions/index.html,directsalesguru.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
106,secure-runezcape.tk/,secure-runezcape.tk,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
107,paypa1.com.cgi.bin.webscr.cmd.login.submit.1585534567890456789009870987654.ns11-wistee.fr/,paypa1.com.cgi.bin.webscr.cmd.login.submit.1585534567890456789009870987654.ns11-wistee.fr,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
108,www.bariskaraduman.com/wp-content/themes/ePhoto/juma/,bariskaraduman.com,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
109,hlanz.org/billing/system/info/update/webscr/screaming/c90b4915b08d773a8825f1eaa0a0dd,hlanz.org,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
110,www.ellegancesalon.ro/wp-content/plugins/akismet/toti.php,ellegancesalon.ro,DOMAIN_NOT_FOUND,"URL does not exist - DNS resolution failed ([Errno 8] nodename nor servname provided, or not known)",
111,ferntaylor.com/go.php,ferntaylor.com,NONE,URL exists - DNS resolved successfully,13.248.169.48
